system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
CF,A_warm,6,30,0.0,0.7342,0.7388,0.9429,0.9096,0.9912
CF,A_warm,6,50,0.0,0.7233,0.7244,0.928,0.8928,0.9976
CF,A_warm,7,1,0.0,0.8691,0.8851,1.1335,1.0608,0.4039
CF,A_warm,7,2,0.0,0.8599,0.8825,1.1134,1.0771,0.6057
CF,A_warm,7,4,0.0,0.8318,0.8552,1.0784,1.055,0.789
CF,A_warm,7,6,0.0,0.8084,0.8295,1.051,1.0296,0.8674
CF,A_warm,7,8,0.0,0.7961,0.8099,1.037,1.0093,0.9096
CF,A_warm,7,10,0.0,0.7853,0.8055,1.0196,1.001,0.9321
CF,A_warm,7,15,0.0,0.7674,0.7856,0.9929,0.9775,0.9631
CF,A_warm,7,20,0.0,0.7565,0.7726,0.9788,0.9608,0.9785
CF,A_warm,7,30,0.0,0.7406,0.7551,0.9559,0.9364,0.9908
CF,A_warm,7,50,0.0,0.728,0.7424,0.9379,0.9189,0.9975
CF,A_warm,8,1,0.0,0.8359,0.8467,1.0943,1.0147,0.4106
CF,A_warm,8,2,0.0,0.8152,0.8199,1.0636,1.0096,0.6115
CF,A_warm,8,4,0.0,0.7941,0.7965,1.0328,0.9876,0.7789
CF,A_warm,8,6,0.0,0.7772,0.7894,1.0113,0.9816,0.8628
CF,A_warm,8,8,0.0,0.7653,0.7748,0.9966,0.9642,0.9026
CF,A_warm,8,10,0.0,0.7586,0.7684,0.9871,0.9562,0.9308
CF,A_warm,8,15,0.0,0.7426,0.7474,0.9674,0.9331,0.964
CF,A_warm,8,20,0.0,0.7364,0.7431,0.9576,0.9249,0.9819
CF,A_warm,8,30,0.0,0.7214,0.7266,0.9349,0.9028,0.9933
CF,A_warm,8,50,0.0,0.7116,0.7152,0.92,0.8843,0.9984
CF,A_warm,9,1,0.0,0.845,0.8604,1.1093,1.0277,0.4168
CF,A_warm,9,2,0.0,0.8256,0.8561,1.0805,1.0459,0.6087
CF,A_warm,9,4,0.0,0.8059,0.8365,1.0485,1.0333,0.7823
CF,A_warm,9,6,0.0,0.7879,0.8141,1.0262,1.0089,0.8626
CF,A_warm,9,8,0.0,0.7792,0.8001,1.0104,0.9914,0.9068
CF,A_warm,9,10,0.0,0.7642,0.7841,0.9894,0.9694,0.93
CF,A_warm,9,15,0.0,0.7483,0.7677,0.9678,0.9516,0.9642
CF,A_warm,9,20,0.0,0.7413,0.7608,0.9542,0.9392,0.9796
CF,A_warm,9,30,0.0,0.7288,0.7497,0.9344,0.923,0.9921
CF,A_warm,9,50,0.0,0.7215,0.7419,0.922,0.9109,0.9979
