system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
FUS,A_warm,1,15,0.8,0.7633,0.7675,0.9844,0.951,0.9873
FUS,A_warm,1,20,0.8,0.7584,0.762,0.9768,0.9426,0.9919
FUS,A_warm,1,30,0.8,0.7511,0.7563,0.9631,0.9311,0.9953
FUS,A_warm,1,50,0.8,0.7423,0.749,0.9507,0.9181,0.9966
FUS,A_warm,1,1,0.9,0.8529,0.8604,1.1245,1.0624,0.5564
FUS,A_warm,1,2,0.9,0.8376,0.8408,1.0915,1.0455,0.7504
FUS,A_warm,1,4,0.9,0.8169,0.8209,1.0554,1.0204,0.8915
FUS,A_warm,1,6,0.9,0.8025,0.8062,1.0311,0.9969,0.9396
FUS,A_warm,1,8,0.9,0.7889,0.7912,1.015,0.9793,0.9577
FUS,A_warm,1,10,0.9,0.7824,0.7863,1.0053,0.9719,0.97
FUS,A_warm,1,15,0.9,0.7705,0.7741,0.9934,0.9583,0.9836
FUS,A_warm,1,20,0.9,0.7637,0.7678,0.9834,0.9493,0.9879
FUS,A_warm,1,30,0.9,0.7556,0.7607,0.9708,0.9379,0.9911
FUS,A_warm,1,50,0.9,0.7463,0.752,0.958,0.9244,0.9938
FUS,A_warm,2,1,0.0,0.8542,0.875,1.1302,1.0904,0.6071
FUS,A_warm,2,2,0.0,0.8282,0.8431,1.0878,1.0581,0.7945
FUS,A_warm,2,4,0.0,0.8022,0.8139,1.042,1.0163,0.9111
FUS,A_warm,2,6,0.0,0.7793,0.7884,1.0119,0.9852,0.9488
FUS,A_warm,2,8,0.0,0.7699,0.7785,0.9937,0.9672,0.967
FUS,A_warm,2,10,0.0,0.7627,0.7689,0.9824,0.9531,0.9782
FUS,A_warm,2,15,0.0,0.7532,0.7604,0.966,0.9384,0.9907
FUS,A_warm,2,20,0.0,0.7452,0.7503,0.9531,0.9244,0.9953
FUS,A_warm,2,30,0.0,0.7405,0.7452,0.9427,0.9147,0.9989
FUS,A_warm,2,50,0.0,0.7352,0.7398,0.9322,0.9042,0.9997
FUS,A_warm,2,1,0.7,0.8575,0.874,1.1352,1.0881,0.572
FUS,A_warm,2,2,0.7,0.8484,0.8627,1.1099,1.076,0.7663
FUS,A_warm,2,4,0.7,0.8122,0.8225,1.0548,1.0248,0.8953
FUS,A_warm,2,6,0.7,0.7924,0.8024,1.0261,0.9973,0.9389
FUS,A_warm,2,8,0.7,0.7786,0.7874,1.005,0.9764,0.9595
FUS,A_warm,2,10,0.7,0.77,0.7742,0.9903,0.9581,0.9712
FUS,A_warm,2,15,0.7,0.7595,0.7648,0.9723,0.9409,0.9848
FUS,A_warm,2,20,0.7,0.7546,0.7606,0.9646,0.9357,0.9917
FUS,A_warm,2,30,0.7,0.7475,0.7535,0.9515,0.9237,0.9956
FUS,A_warm,2,50,0.7,0.7401,0.7462,0.9395,0.9122,0.9977
FUS,A_warm,2,1,0.8,0.8646,0.8798,1.1364,1.0908,0.5655
FUS,A_warm,2,2,0.8,0.8595,0.8771,1.122,1.092,0.7607
FUS,A_warm,2,4,0.8,0.82,0.8336,1.0618,1.0393,0.8921
FUS,A_warm,2,6,0.8,0.7985,0.8106,1.0325,1.0076,0.9394
FUS,A_warm,2,8,0.8,0.7817,0.7922,1.0071,0.9804,0.9612
FUS,A_warm,2,10,0.8,0.7758,0.784,0.9968,0.9688,0.9722
FUS,A_warm,2,15,0.8,0.7642,0.7729,0.9795,0.9518,0.9838
FUS,A_warm,2,20,0.8,0.7577,0.766,0.9691,0.942,0.9894
FUS,A_warm,2,30,0.8,0.7499,0.758,0.9566,0.93,0.9941
FUS,A_warm,2,50,0.8,0.7433,0.7514,0.9448,0.9194,0.9967
FUS,A_warm,2,1,0.9,0.8655,0.89,1.1315,1.097,0.5703
FUS,A_warm,2,2,0.9,0.8514,0.8669,1.107,1.0784,0.7631
FUS,A_warm,2,4,0.9,0.8201,0.8357,1.0559,1.0347,0.8984
FUS,A_warm,2,6,0.9,0.796,0.8097,1.0265,1.0027,0.9407
FUS,A_warm,2,8,0.9,0.7799,0.7937,1.0042,0.9812,0.9616
FUS,A_warm,2,10,0.9,0.7727,0.7859,0.9932,0.9691,0.9702
FUS,A_warm,2,15,0.9,0.7606,0.772,0.9743,0.9497,0.9822
FUS,A_warm,2,20,0.9,0.7582,0.7691,0.9694,0.9449,0.9878
FUS,A_warm,2,30,0.9,0.7508,0.7612,0.957,0.9333,0.9924
FUS,A_warm,2,50,0.9,0.7454,0.7548,0.9468,0.922,0.9953
FUS,A_warm,3,1,0.0,0.8474,0.8615,1.128,1.0783,0.5973
FUS,A_warm,3,2,0.0,0.8296,0.8365,1.0901,1.0497,0.7851
FUS,A_warm,3,4,0.0,0.8,0.8045,1.0497,1.0082,0.917
FUS,A_warm,3,6,0.0,0.7822,0.7873,1.0227,0.9859,0.9529
FUS,A_warm,3,8,0.0,0.7657,0.7704,0.9992,0.9629,0.97
FUS,A_warm,3,10,0.0,0.7537,0.7591,0.9822,0.9487,0.9814
FUS,A_warm,3,15,0.0,0.7412,0.7476,0.9613,0.9294,0.9908
FUS,A_warm,3,20,0.0,0.734,0.7411,0.9499,0.9198,0.9958
FUS,A_warm,3,30,0.0,0.7278,0.7362,0.9369,0.9085,0.9984
FUS,A_warm,3,50,0.0,0.7247,0.7335,0.9291,0.9026,0.9997
FUS,A_warm,3,1,0.7,0.8507,0.8751,1.1275,1.0874,0.572
